smiles	status	PUBCHEM_CID	InChI	IUPAC	Isomeric_SMILES	Name	Source
[O-][N+](=O)c1cc2nc([O-])c(nc2c2c1c(ccc2)S(=O)(=O)N)[O-].[Na+].[Na+]	0	6098006	InChI=1S/C12H8N4O6S.2Na/c13-23(21,22)8-3-1-2-5-9(8)7(16(19)20)4-6-10(5)15-12(18)11(17)14-6;;/h1-4H,(H,14,17)(H,15,18)(H2,13,21,22);;/q;2*+1/p-2	disodium;6-nitro-7-sulfamoylbenzo[f]quinoxaline-2,3-diolate	C1=CC2=C3C(=CC(=C2C(=C1)S(=O)(=O)N)[N+](=O)[O-])N=C(C(=N3)[O-])[O-].[Na+].[Na+]	NBQX disodium	PMID: 24134630
[O-]C(=O)C(O)C.[O-]C(=O)C(O)C.[Cu+2]	1	13145	InChI=1S/2C3H6O3.Cu/c2*1-2(4)3(5)6;/h2*2,4H,1H3,(H,5,6);/q;;+2/p-2	copper;2-hydroxypropanoate	CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Cu+2]	Cupric lactate	DrugAge Database
[O-]C=O.[O-]C=O.[Cu+2]	1	10999	InChI=1S/2CH2O2.Cu/c2*2-1-3;/h2*1H,(H,2,3);/q;;+2/p-2	copper;diformate	C(=O)[O-].C(=O)[O-].[Cu+2]	Cupric formate	DrugAge Database
[O-]c1ccccc1C=NCCN=Cc1ccccc1[O-].[Cl-].[Mn+3]	1	171249	InChI=1S/C16H16N2O2.ClH.Mn/c19-15-7-3-1-5-13(15)11-17-9-10-18-12-14-6-2-4-8-16(14)20;;/h1-8,11-12,19-20H,9-10H2;1H;/q;;+3/p-3	manganese(3+);2-[2-[(2-oxidophenyl)methylideneamino]ethyliminomethyl]phenolate;chloride	C1=CC=C(C(=C1)C=NCCN=CC2=CC=CC=C2[O-])[O-].[Cl-].[Mn+3]	EUK-8	DrugAge Database
[O-]S(=O)(=O)N.COc1[nH]c2c(c1C(=O)OCC1CCN(CC1)CCNS(=O)(=O)C)cc(cc2)F.[H+]	0	11957556	InChI=1S/C19H26FN3O5S.H3NO3S/c1-27-18-17(15-11-14(20)3-4-16(15)22-18)19(24)28-12-13-5-8-23(9-6-13)10-7-21-29(2,25)26;1-5(2,3)4/h3-4,11,13,21-22H,5-10,12H2,1-2H3;(H3,1,2,3,4)	hydron;[1-[2-(methanesulfonamido)ethyl]piperidin-4-yl]methyl 5-fluoro-2-methoxy-1H-indole-3-carboxylate;sulfamate	[H+].COC1=C(C2=C(N1)C=CC(=C2)F)C(=O)OCC3CCN(CC3)CCNS(=O)(=O)C.NS(=O)(=O)[O-]	GR 125487 sulfamate salt	PMID: 24134630
C(NC(c1ccccc1)c1ccccc1)CNC(c1ccccc1)c1ccccc1.Cl.Cl	1	11698390	InChI=1S/C28H28N2.2ClH/c1-5-13-23(14-6-1)27(24-15-7-2-8-16-24)29-21-22-30-28(25-17-9-3-10-18-25)26-19-11-4-12-20-26;;/h1-20,27-30H,21-22H2;2*1H	N,N'-dibenzhydrylethane-1,2-diamine;dihydrochloride	C1=CC=C(C=C1)C(C2=CC=CC=C2)NCCNC(C3=CC=CC=C3)C4=CC=CC=C4.Cl.Cl	AMN082	DrugAge Database
C[C@H](Cc1cnc[nH]1)N.Cl.Cl	0	11957567	InChI=1S/C6H11N3.2ClH/c1-5(7)2-6-3-8-4-9-6;;/h3-5H,2,7H2,1H3,(H,8,9);2*1H/t5-;;/m1../s1	(2R)-1-(1H-imidazol-5-yl)propan-2-amine;dihydrochloride	C[C@H](CC1=CN=CN1)N.Cl.Cl	Histamine, R(-)-alpha-methyl-, dihydrochloride	PMID: 24134630
C[N+](CCCCCNCC12CC3CC(C2)CC(C1)C3)(C)C.[Br-].Br	0	6604954	InChI=1S/C19H37N2.2BrH/c1-21(2,3)8-6-4-5-7-20-15-19-12-16-9-17(13-19)11-18(10-16)14-19;;/h16-18,20H,4-15H2,1-3H3;2*1H/q+1;;/p-1	5-(1-adamantylmethylamino)pentyl-trimethylazanium;bromide;hydrobromide	C[N+](C)(C)CCCCCNCC12CC3CC(C1)CC(C3)C2.Br.[Br-]	IEM-1460	PMID: 24134630
C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1.[O-]C(=O)[C@@H]([C@H](C(=O)O)O)O.[O-]C(=O)[C@@H]([C@H](C(=O)O)O)O	0	5849	InChI=1S/C15H32N2.2C4H6O6/c1-16(12-6-7-13-16)10-4-3-5-11-17(2)14-8-9-15-17;2*5-1(3(7)8)2(6)4(9)10/h3-15H2,1-2H3;2*1-2,5-6H,(H,7,8)(H,9,10)/q+2;;/p-2/t;2*1-,2-/m.11/s1	1-methyl-1-[5-(1-methylpyrrolidin-1-ium-1-yl)pentyl]pyrrolidin-1-ium;(2R,3R)-2,3,4-trihydroxy-4-oxobutanoate	C[N+]1(CCCC1)CCCCC[N+]2(CCCC2)C.[C@@H]([C@H](C(=O)[O-])O)(C(=O)O)O.[C@@H]([C@H](C(=O)[O-])O)(C(=O)O)O	Pentolinium di[L(+)-tartrate]	PMID: 24134630
C1CCN(CC1)Cc1cccc(c1)OCCCNc1nc2c(s1)cccc2.OC(=O)/C=C\C(=O)O.OC(=O)/C=C\C(=O)O	1	11957725	InChI=1S/C22H27N3OS.2C4H4O4/c1-4-13-25(14-5-1)17-18-8-6-9-19(16-18)26-15-7-12-23-22-24-20-10-2-3-11-21(20)27-22;2*5-3(6)1-2-4(7)8/h2-3,6,8-11,16H,1,4-5,7,12-15,17H2,(H,23,24);2*1-2H,(H,5,6)(H,7,8)/b;2*2-1-	(Z)-but-2-enedioic acid;N-[3-[3-(piperidin-1-ylmethyl)phenoxy]propyl]-1,3-benzothiazol-2-amine	C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O	SKF 95282 dimaleate	DrugAge Database
