Title/Synonyms	IUPAC	InChI	Isomeric_SMILES	Canonical_SMILES	PUBCHEM_CID	Status	Source
4-[2-[4-[(2R)-6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]-2-oxoethyl]piperidine-1-carboxamide/CHEMBL306428	4-[2-[4-[(2R)-6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]-2-oxoethyl]piperidine-1-carboxamide	InChI=1S/C26H31BrClN5O2/c27-20-14-19-2-1-18-15-21(28)3-4-22(18)25(24(19)30-16-20)32-11-9-31(10-12-32)23(34)13-17-5-7-33(8-6-17)26(29)35/h3-4,14-17,25H,1-2,5-13H2,(H2,29,35)/t25-/m1/s1	C1CN(CCC1CC(=O)N2CCN(CC2)[C@@H]3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl)C(=O)N	Clc1ccc2c(c1)CCc1c([C@@H]2N2CCN(CC2)C(=O)CC2CCN(CC2)C(=O)N)ncc(c1)Br	10698121	1	AID_72965_datatable_active
1-[4-[(2S)-6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]-2-(1-methylpiperidin-4-yl)ethanone/CHEMBL305431	1-[4-[(2S)-6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]-2-(1-methylpiperidin-4-yl)ethanone	InChI=1S/C26H32BrClN4O/c1-30-8-6-18(7-9-30)14-24(33)31-10-12-32(13-11-31)26-23-5-4-22(28)16-19(23)2-3-20-15-21(27)17-29-25(20)26/h4-5,15-18,26H,2-3,6-14H2,1H3/t26-/m0/s1	CN1CCC(CC1)CC(=O)N2CCN(CC2)[C@H]3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4)Cl	CN1CCC(CC1)CC(=O)N1CCN(CC1)[C@H]1c2ccc(cc2CCc2c1ncc(c2)Br)Cl	11800388	1	AID_72965_datatable_active
Piperazine, 1-(3-bromo-8-chloro-6,11-dihydro-5H-benzo(5,6)cyclohepta(1,2-b)pyridin-11-yl)-4-((1-oxido-4-pyridinyl)acetyl)-, (S)-/CHEMBL432911	1-[4-[(2R)-6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]-2-(1-oxidopyridin-1-ium-4-yl)ethanone	InChI=1S/C25H24BrClN4O2/c26-20-14-19-2-1-18-15-21(27)3-4-22(18)25(24(19)28-16-20)30-11-9-29(10-12-30)23(32)13-17-5-7-31(33)8-6-17/h3-8,14-16,25H,1-2,9-13H2/t25-/m1/s1	C1CC2=C([C@@H](C3=C1C=C(C=C3)Cl)N4CCN(CC4)C(=O)CC5=CC=[N+](C=C5)[O-])N=CC(=C2)Br	[O-][n+]1ccc(cc1)CC(=O)N1CCN(CC1)[C@@H]1c2ccc(cc2CCc2c1ncc(c2)Br)Cl	10578069	1	AID_72965_datatable_active
1-[4-[(2S)-6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]-2-(1-oxidopyridin-1-ium-4-yl)ethanone/CHEMBL305798	1-[4-[(2S)-6-bromo-13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl]piperazin-1-yl]-2-(1-oxidopyridin-1-ium-4-yl)ethanone	InChI=1S/C25H24BrClN4O2/c26-20-14-19-2-1-18-15-21(27)3-4-22(18)25(24(19)28-16-20)30-11-9-29(10-12-30)23(32)13-17-5-7-31(33)8-6-17/h3-8,14-16,25H,1-2,9-13H2/t25-/m0/s1	C1CC2=C([C@H](C3=C1C=C(C=C3)Cl)N4CCN(CC4)C(=O)CC5=CC=[N+](C=C5)[O-])N=CC(=C2)Br	[O-][n+]1ccc(cc1)CC(=O)N1CCN(CC1)[C@H]1c2ccc(cc2CCc2c1ncc(c2)Br)Cl	9871581	1	AID_72965_datatable_active
8-CHLORO-5,6-DIHYDRO-11H-BENZO[5,6]CYCLO-HEPTA[1,2-b]PYRIDIN-11-YL-4-(4-PYRIDYLACETYL)-PIPERAZINE/CHEMBL311310	1-[4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-pyridin-4-ylethanone	InChI=1S/C25H25ClN4O/c26-21-5-6-22-20(17-21)4-3-19-2-1-9-28-24(19)25(22)30-14-12-29(13-15-30)23(31)16-18-7-10-27-11-8-18/h1-2,5-11,17,25H,3-4,12-16H2	C1CC2=C(C=CC(=C2)Cl)C(C3=C1C=CC=N3)N4CCN(CC4)C(=O)CC5=CC=NC=C5	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)Cc2ccncc2)nccc1	9889061	1	AID_72965_datatable_active
4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-N-pyridin-3-ylpiperazine-1-carboxamide/CHEMBL130362	4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-N-pyridin-3-ylpiperazine-1-carboxamide	InChI=1S/C24H24ClN5O/c25-19-7-8-21-18(15-19)6-5-17-3-1-10-27-22(17)23(21)29-11-13-30(14-12-29)24(31)28-20-4-2-9-26-16-20/h1-4,7-10,15-16,23H,5-6,11-14H2,(H,28,31)	C1CC2=C(C=CC(=C2)Cl)C(C3=C1C=CC=N3)N4CCN(CC4)C(=O)NC5=CN=CC=C5	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)Nc2cccnc2)nccc1	11797067	1	AID_72965_datatable_active
4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-N-pyridin-2-ylpiperazine-1-carboxamide/CHEMBL336370	4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-N-pyridin-2-ylpiperazine-1-carboxamide	InChI=1S/C24H24ClN5O/c25-19-8-9-20-18(16-19)7-6-17-4-3-11-27-22(17)23(20)29-12-14-30(15-13-29)24(31)28-21-5-1-2-10-26-21/h1-5,8-11,16,23H,6-7,12-15H2,(H,26,28,31)	C1CC2=C(C=CC(=C2)Cl)C(C3=C1C=CC=N3)N4CCN(CC4)C(=O)NC5=CC=CC=N5	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)Nc2ccccn2)nccc1	10694111	1	AID_72965_datatable_active
4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-N-pyridin-4-ylpiperazine-1-carboxamide/CHEMBL336597	4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)-N-pyridin-4-ylpiperazine-1-carboxamide	InChI=1S/C24H24ClN5O/c25-19-5-6-21-18(16-19)4-3-17-2-1-9-27-22(17)23(21)29-12-14-30(15-13-29)24(31)28-20-7-10-26-11-8-20/h1-2,5-11,16,23H,3-4,12-15H2,(H,26,28,31)	C1CC2=C(C=CC(=C2)Cl)C(C3=C1C=CC=N3)N4CCN(CC4)C(=O)NC5=CC=NC=C5	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)Nc2ccncc2)nccc1	10550770	1	AID_72965_datatable_active
1-[4-(13-Chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-phenylethanone/CHEMBL335871	1-[4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-phenylethanone	InChI=1S/C26H26ClN3O/c27-22-10-11-23-21(18-22)9-8-20-7-4-12-28-25(20)26(23)30-15-13-29(14-16-30)24(31)17-19-5-2-1-3-6-19/h1-7,10-12,18,26H,8-9,13-17H2	C1CC2=C(C=CC(=C2)Cl)C(C3=C1C=CC=N3)N4CCN(CC4)C(=O)CC5=CC=CC=C5	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)Cc2ccccc2)nccc1	10646360	1	AID_72965_datatable_active
1-[4-(13-Chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-pyridin-2-ylethanone/CHEMBL341393	1-[4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-yl)piperazin-1-yl]-2-pyridin-2-ylethanone	InChI=1S/C25H25ClN4O/c26-20-8-9-22-19(16-20)7-6-18-4-3-11-28-24(18)25(22)30-14-12-29(13-15-30)23(31)17-21-5-1-2-10-27-21/h1-5,8-11,16,25H,6-7,12-15,17H2	C1CC2=C(C=CC(=C2)Cl)C(C3=C1C=CC=N3)N4CCN(CC4)C(=O)CC5=CC=CC=N5	Clc1ccc2c(c1)CCc1c(C2N2CCN(CC2)C(=O)Cc2ccccn2)nccc1	10788891	1	AID_72965_datatable_active
