smiles,status
C/C(=C(\C(=O)Nc1cc(Br)ccc1Br)/C#N)/O,1
Clc1ccc2c(c1)[nH]c(=O)c(c2O)C(=O)C1CC1,1
CCOC(=O)C1=C(O)C(=O)N(C1)Cc1ccccc1,1
COc1cc2c(cc1O)CCC1C2CC[C@]2(C1CC[C@@H]2O)C,1
O=C1c2ccccc2-c2c3c1ccc1c3c(c(c2)Nc2cccc3c2C(=O)c2ccccc2C3=O)c2c3c1ccc1c3c(-c3c(C1=O)cccc3)cc2Nc1cccc2c1C(=O)c1ccccc1C2=O,1
COc1cccc(c1)/N=C/N=C/c1cccc(c1)OC,1
Clc1cccc(c1)/N=C/N=C/c1cccc(c1)Cl,1
O/N=C/1\c2ccccc2O[C@]2([C@@H]1C2)C(=O)Nc1ccccc1,1
CCOC(=O)[C@]12C[C@@H]2/C(=N/O)/c2c(O1)cccc2,1
C/N=C(/N=C(/Nc1cc2ccccc2c2c1cccc2)\N)\N,1
C1CCc2c(C1)n1CCNCc3c1c2ccc3,1
OC[C@@H](C(C)C)Nc1nc(Nc2cc(N)cc(c2)Cl)c2c(n1)n(cn2)C(C)C,1
O=C(Nc1ccnc2c1nccc2)Nc1ccc2c(c1)oc(n2)C,1
CCc1ccc2c(n1)n(CC)c(=O)nc2c1cccc(c1)Cl,1
O=C1Nc2cc(Cl)c(cc2N2[C@@H]1CNCC2)Cl,1
CCOC(=O)c1c(C)[nH]c2c1c1CN3CCc4c([C@@H]3Oc1cc2)ccc(c4)OC,1
CN[C@@H]1C[C@@H](c2c1cccc2)c1ccc(c(c1)Cl)Cl,1
CCOC(=O)[C@@H]([C@@H]1C(=C(N)Oc2c1cc(Br)cc2)C(=O)OCC)C#N,1
Ic1cncc(c1)OC[C@@H]1CCN1,1
COc1ccc(c(c1)OC)/C=C\c1cc(OC)cc(c1)OC,1
CNC1=N[C@@H](N(S1)c1ccccc1)c1ccccc1,1
COC(=O)[C@@H](c1ccccc1)NC(=O)c1cc(nc2c1cccc2)c1ccccc1,1
C[C@@H]1Nc2ccc(cc2S(=O)(=O)N1)Cl,1
COc1ccc(cc1)CCCO[C@H](c1ccc(cc1)OC)Cn1ccnc1,1
O[C@@H](COc1ccccc1n1cccc1)CNC(C)C,1
OC[C@H](COc1cccc2c1cccc2)O,1
C[C@@H](Cc1cccc(c1)C(F)(F)F)NCCCc1ccccc1,1
COC(=O)C1=C(C)NC(=C([C@@H]1C)C(=O)OCCSc1ccccc1)C,1
COc1cc(/C=C\C(=O)N2CCCCC2=O)cc(c1OC)OC,1
O=C1O[C@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@@H]([C@H]1C)CC[C@@H]4C)OO3,1
Cc1ccc2c(c1)c1CCC[C@H]3c1n2CCN3,1
CCSc1ccc2c(c1)N(CCCN1CCN(CC1)C)c1c(S2)cccc1,1
CCN(CCC[C@@H](Nc1c2cc(OC)ccc2nc2c1ccc(c2)Cl)C)CC,1
CN1Cc2c([C@H]3[C@@H]1c1cc4OCOc4cc1C[C@@H]3O)ccc1c2OCO1,1
